city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Cicero,"{'concentration': 480.65, 'aqi': 5}","{'concentration': 56.89, 'aqi': 71}","{'concentration': 3.76, 'aqi': 3}","{'concentration': 9.78, 'aqi': 14}","{'concentration': 13.63, 'aqi': 44}","{'concentration': 20.14, 'aqi': 18}",71
Kendall,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 10.28, 'aqi': 12}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 1.59, 'aqi': 2}","{'concentration': 3.76, 'aqi': 12}","{'concentration': 9.19, 'aqi': 8}",55
New Haven,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 6.34, 'aqi': 7}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 1.19, 'aqi': 1}","{'concentration': 0.56, 'aqi': 1}","{'concentration': 1.02, 'aqi': 0}",47
Fort Lauderdale,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 1.54, 'aqi': 2}","{'concentration': 4.94, 'aqi': 16}","{'concentration': 11.52, 'aqi': 10}",47
Folsom,"{'concentration': 534.06, 'aqi': 6}","{'concentration': 49.35, 'aqi': 61}","{'concentration': 0.98, 'aqi': 0}","{'concentration': 1.65, 'aqi': 2}","{'concentration': 17.22, 'aqi': 53}","{'concentration': 25.97, 'aqi': 24}",61
Miami Gardens,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 6, 'aqi': 7}","{'concentration': 65.09, 'aqi': 69}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 3.18, 'aqi': 10}","{'concentration': 8.31, 'aqi': 7}",69
San Bernardino,"{'concentration': 687.6, 'aqi': 7}","{'concentration': 97.33, 'aqi': 109}","{'concentration': 2.86, 'aqi': 2}","{'concentration': 7.33, 'aqi': 10}","{'concentration': 29.55, 'aqi': 78}","{'concentration': 40.98, 'aqi': 37}",109
Bossier City,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 30.04, 'aqi': 25}","{'concentration': 8.7, 'aqi': 12}","{'concentration': 7.51, 'aqi': 24}","{'concentration': 9.24, 'aqi': 8}",33
Redding,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 14.57, 'aqi': 18}","{'concentration': 23.96, 'aqi': 20}","{'concentration': 0.07, 'aqi': 0}","{'concentration': 2.64, 'aqi': 8}","{'concentration': 3.18, 'aqi': 2}",20
Fort Worth,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 15.08, 'aqi': 18}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 2.59, 'aqi': 3}","{'concentration': 5.54, 'aqi': 17}","{'concentration': 7.68, 'aqi': 7}",75
Oxnard,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.85, 'aqi': 16}","{'concentration': 36.48, 'aqi': 30}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 8.52, 'aqi': 27}","{'concentration': 12.5, 'aqi': 11}",30
Cheektowaga,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 6.26, 'aqi': 7}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 1.19, 'aqi': 1}","{'concentration': 0.71, 'aqi': 2}","{'concentration': 1.16, 'aqi': 1}",55
Boulder,"{'concentration': 226.97, 'aqi': 2}","{'concentration': 5.4, 'aqi': 6}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 0.25, 'aqi': 0}","{'concentration': 2.33, 'aqi': 7}","{'concentration': 3.8, 'aqi': 3}",44
Clarksville,"{'concentration': 363.83, 'aqi': 4}","{'concentration': 20.22, 'aqi': 25}","{'concentration': 18.95, 'aqi': 16}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 5.07, 'aqi': 16}","{'concentration': 6.45, 'aqi': 5}",25
El Paso,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 141.2, 'aqi': 134}","{'concentration': 0, 'aqi': 0}","{'concentration': 33.85, 'aqi': 49}","{'concentration': 70.38, 'aqi': 152}","{'concentration': 101.06, 'aqi': 73}",152
Long Beach,"{'concentration': 821.11, 'aqi': 9}","{'concentration': 55.52, 'aqi': 69}","{'concentration': 0, 'aqi': 0}","{'concentration': 13.59, 'aqi': 19}","{'concentration': 38.79, 'aqi': 96}","{'concentration': 67.42, 'aqi': 56}",96
Salem,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 11.48, 'aqi': 14}","{'concentration': 18.24, 'aqi': 15}","{'concentration': 0.15, 'aqi': 0}","{'concentration': 2.54, 'aqi': 8}","{'concentration': 5.25, 'aqi': 4}",15
Kenner,"{'concentration': 527.38, 'aqi': 5}","{'concentration': 54.84, 'aqi': 68}","{'concentration': 7.6, 'aqi': 6}","{'concentration': 8.46, 'aqi': 12}","{'concentration': 12.14, 'aqi': 39}","{'concentration': 15.82, 'aqi': 14}",68
Rockford,"{'concentration': 287.06, 'aqi': 3}","{'concentration': 10.54, 'aqi': 13}","{'concentration': 45.42, 'aqi': 38}","{'concentration': 5.9, 'aqi': 8}","{'concentration': 7.15, 'aqi': 23}","{'concentration': 8.36, 'aqi': 7}",38
Henderson,"{'concentration': 607.49, 'aqi': 6}","{'concentration': 91.85, 'aqi': 106}","{'concentration': 0.2, 'aqi': 0}","{'concentration': 6.8, 'aqi': 10}","{'concentration': 27.23, 'aqi': 73}","{'concentration': 55.07, 'aqi': 50}",106
McKinney,"{'concentration': 357.15, 'aqi': 4}","{'concentration': 28.79, 'aqi': 35}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 3.61, 'aqi': 5}","{'concentration': 7.18, 'aqi': 23}","{'concentration': 10.01, 'aqi': 9}",42
Springdale,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 5.75, 'aqi': 18}","{'concentration': 10.36, 'aqi': 9}",28
Boise,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 11.14, 'aqi': 13}","{'concentration': 42.2, 'aqi': 35}","{'concentration': 0.22, 'aqi': 0}","{'concentration': 6.79, 'aqi': 22}","{'concentration': 10.04, 'aqi': 9}",35
Round Rock,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.51, 'aqi': 15}","{'concentration': 63.66, 'aqi': 64}","{'concentration': 1.25, 'aqi': 1}","{'concentration': 5.19, 'aqi': 16}","{'concentration': 6.85, 'aqi': 6}",64
Framingham,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 2.23, 'aqi': 2}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 0.07, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.71, 'aqi': 0}",40
Paradise,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 119.27, 'aqi': 122}","{'concentration': 0, 'aqi': 0}","{'concentration': 18.12, 'aqi': 26}","{'concentration': 67.99, 'aqi': 151}","{'concentration': 100.14, 'aqi': 73}",151
San Mateo,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 11.82, 'aqi': 14}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 1.18, 'aqi': 1}","{'concentration': 2.93, 'aqi': 9}","{'concentration': 5.88, 'aqi': 5}",55
Brandon,"{'concentration': 226.97, 'aqi': 2}","{'concentration': 1.63, 'aqi': 2}","{'concentration': 47.92, 'aqi': 40}","{'concentration': 0.06, 'aqi': 0}","{'concentration': 0.77, 'aqi': 2}","{'concentration': 0.83, 'aqi': 0}",40
Portland,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 25.36, 'aqi': 31}","{'concentration': 20.39, 'aqi': 17}","{'concentration': 2.09, 'aqi': 3}","{'concentration': 4.58, 'aqi': 14}","{'concentration': 8.92, 'aqi': 8}",31
Casas Adobes,"{'concentration': 400.54, 'aqi': 4}","{'concentration': 24.33, 'aqi': 30}","{'concentration': 34.33, 'aqi': 29}","{'concentration': 0.94, 'aqi': 1}","{'concentration': 12.56, 'aqi': 40}","{'concentration': 23.77, 'aqi': 22}",40
Toms River,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 10.45, 'aqi': 13}","{'concentration': 55.08, 'aqi': 46}","{'concentration': 2, 'aqi': 2}","{'concentration': 1.08, 'aqi': 3}","{'concentration': 2.22, 'aqi': 2}",46
Redlands,"{'concentration': 594.14, 'aqi': 6}","{'concentration': 77.46, 'aqi': 96}","{'concentration': 7.42, 'aqi': 6}","{'concentration': 5.96, 'aqi': 8}","{'concentration': 22.57, 'aqi': 64}","{'concentration': 33.87, 'aqi': 31}",96
Pittsburg,"{'concentration': 383.85, 'aqi': 4}","{'concentration': 26.05, 'aqi': 32}","{'concentration': 29.33, 'aqi': 24}","{'concentration': 1.73, 'aqi': 2}","{'concentration': 6.34, 'aqi': 20}","{'concentration': 8.59, 'aqi': 7}",32
Appleton,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 5.01, 'aqi': 6}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 1.71, 'aqi': 2}","{'concentration': 2.84, 'aqi': 9}","{'concentration': 3.26, 'aqi': 3}",53
Memphis,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 22.96, 'aqi': 28}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 2.8, 'aqi': 4}","{'concentration': 6.14, 'aqi': 19}","{'concentration': 7.01, 'aqi': 6}",28
Ellicott City,"{'concentration': 300.41, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 45.78, 'aqi': 38}","{'concentration': 4.41, 'aqi': 6}","{'concentration': 2.75, 'aqi': 8}","{'concentration': 4.57, 'aqi': 4}",38
Rock Hill,"{'concentration': 423.91, 'aqi': 4}","{'concentration': 31.53, 'aqi': 39}","{'concentration': 5.23, 'aqi': 4}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 6.92, 'aqi': 22}","{'concentration': 9.43, 'aqi': 8}",39
San Diego,"{'concentration': 647.54, 'aqi': 7}","{'concentration': 58.95, 'aqi': 73}","{'concentration': 1.23, 'aqi': 1}","{'concentration': 2.24, 'aqi': 3}","{'concentration': 28.11, 'aqi': 75}","{'concentration': 43.94, 'aqi': 40}",75
Evansville,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 0.56, 'aqi': 0}","{'concentration': 4.42, 'aqi': 14}","{'concentration': 5.41, 'aqi': 5}",36
Jackson,"{'concentration': 473.98, 'aqi': 5}","{'concentration': 27.08, 'aqi': 33}","{'concentration': 17.88, 'aqi': 15}","{'concentration': 0.75, 'aqi': 1}","{'concentration': 11.69, 'aqi': 37}","{'concentration': 14.88, 'aqi': 13}",37
Santa Rosa,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 9.94, 'aqi': 12}","{'concentration': 39.7, 'aqi': 33}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 1.94, 'aqi': 6}","{'concentration': 2.82, 'aqi': 2}",33
Goodyear,"{'concentration': 410.56, 'aqi': 4}","{'concentration': 29.47, 'aqi': 36}","{'concentration': 70.1, 'aqi': 84}","{'concentration': 3.99, 'aqi': 5}","{'concentration': 20.77, 'aqi': 60}","{'concentration': 36.49, 'aqi': 33}",84
San Angelo,"{'concentration': 247, 'aqi': 2}","{'concentration': 2.59, 'aqi': 3}","{'concentration': 66.52, 'aqi': 73}","{'concentration': 1.61, 'aqi': 2}","{'concentration': 4.31, 'aqi': 13}","{'concentration': 7.02, 'aqi': 6}",73
Sunnyvale,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 13.88, 'aqi': 17}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 1.27, 'aqi': 1}","{'concentration': 3.28, 'aqi': 10}","{'concentration': 6.33, 'aqi': 5}",43
Provo,"{'concentration': 1121.52, 'aqi': 12}","{'concentration': 143.95, 'aqi': 136}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.13, 'aqi': 14}","{'concentration': 95.53, 'aqi': 167}","{'concentration': 105.64, 'aqi': 75}",167
Santa Ana,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Boca Raton,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 8.48, 'aqi': 10}","{'concentration': 67.23, 'aqi': 75}","{'concentration': 0.78, 'aqi': 1}","{'concentration': 3.73, 'aqi': 12}","{'concentration': 9.98, 'aqi': 9}",75
Murfreesboro,"{'concentration': 400.54, 'aqi': 4}","{'concentration': 23.99, 'aqi': 29}","{'concentration': 22.35, 'aqi': 18}","{'concentration': 0.13, 'aqi': 0}","{'concentration': 6.53, 'aqi': 21}","{'concentration': 8.27, 'aqi': 7}",29
East Orange,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 9.6, 'aqi': 12}","{'concentration': 47.21, 'aqi': 40}","{'concentration': 1.19, 'aqi': 1}","{'concentration': 1.16, 'aqi': 3}","{'concentration': 3.02, 'aqi': 2}",40
Ponce,"{'concentration': 181.91, 'aqi': 2}","{'concentration': 0.24, 'aqi': 0}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 0.12, 'aqi': 0}","{'concentration': 2.01, 'aqi': 6}","{'concentration': 4.52, 'aqi': 4}",43
Mount Pleasant,"{'concentration': 250.34, 'aqi': 2}","{'concentration': 4.54, 'aqi': 5}","{'concentration': 56.51, 'aqi': 47}","{'concentration': 0.72, 'aqi': 1}","{'concentration': 3.75, 'aqi': 12}","{'concentration': 4.96, 'aqi': 4}",47
Lynwood,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Apple Valley,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 7.45, 'aqi': 9}","{'concentration': 50.07, 'aqi': 42}","{'concentration': 1.58, 'aqi': 2}","{'concentration': 5.78, 'aqi': 18}","{'concentration': 7.64, 'aqi': 7}",42
Waterloo,"{'concentration': 293.73, 'aqi': 3}","{'concentration': 9.77, 'aqi': 12}","{'concentration': 38.62, 'aqi': 32}","{'concentration': 0.76, 'aqi': 1}","{'concentration': 7.25, 'aqi': 23}","{'concentration': 8.15, 'aqi': 7}",32
Scranton,"{'concentration': 247, 'aqi': 2}","{'concentration': 2.36, 'aqi': 2}","{'concentration': 62.94, 'aqi': 62}","{'concentration': 0.35, 'aqi': 0}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.56, 'aqi': 0}",62
Mesa,"{'concentration': 961.3, 'aqi': 10}","{'concentration': 91.85, 'aqi': 106}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.01, 'aqi': 14}","{'concentration': 45.34, 'aqi': 109}","{'concentration': 62.64, 'aqi': 54}",109
Fayetteville,"{'concentration': 317.1, 'aqi': 3}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 33.98, 'aqi': 28}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 5.75, 'aqi': 18}","{'concentration': 10.36, 'aqi': 9}",28
Hammond,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 19.71, 'aqi': 24}","{'concentration': 35.41, 'aqi': 30}","{'concentration': 2.68, 'aqi': 3}","{'concentration': 7.25, 'aqi': 23}","{'concentration': 10.43, 'aqi': 9}",30
Laguna Niguel,"{'concentration': 514.03, 'aqi': 5}","{'concentration': 50.04, 'aqi': 62}","{'concentration': 10.73, 'aqi': 9}","{'concentration': 1.57, 'aqi': 2}","{'concentration': 23.61, 'aqi': 66}","{'concentration': 38.63, 'aqi': 35}",66
Canton,"{'concentration': 236.99, 'aqi': 2}","{'concentration': 3.86, 'aqi': 4}","{'concentration': 70.81, 'aqi': 86}","{'concentration': 3.07, 'aqi': 4}","{'concentration': 3.62, 'aqi': 11}","{'concentration': 4.32, 'aqi': 4}",86
Parma,"{'concentration': 741.01, 'aqi': 8}","{'concentration': 29.82, 'aqi': 37}","{'concentration': 0.1, 'aqi': 0}","{'concentration': 2.03, 'aqi': 2}","{'concentration': 28.81, 'aqi': 76}","{'concentration': 32.64, 'aqi': 30}",76
Dale City,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 14.05, 'aqi': 17}","{'concentration': 37.19, 'aqi': 31}","{'concentration': 2.12, 'aqi': 3}","{'concentration': 1.94, 'aqi': 6}","{'concentration': 3.61, 'aqi': 3}",31
Orlando,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 17.48, 'aqi': 21}","{'concentration': 41.49, 'aqi': 35}","{'concentration': 3.07, 'aqi': 4}","{'concentration': 7.28, 'aqi': 23}","{'concentration': 9.15, 'aqi': 8}",35
South Bend,"{'concentration': 270.37, 'aqi': 3}","{'concentration': 7.54, 'aqi': 9}","{'concentration': 50.78, 'aqi': 43}","{'concentration': 6.86, 'aqi': 10}","{'concentration': 3.72, 'aqi': 12}","{'concentration': 4.46, 'aqi': 4}",43
Ogden,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 23.65, 'aqi': 29}","{'concentration': 43.27, 'aqi': 36}","{'concentration': 0.65, 'aqi': 0}","{'concentration': 6.49, 'aqi': 21}","{'concentration': 9.11, 'aqi': 8}",36
Charlotte,"{'concentration': 337.12, 'aqi': 3}","{'concentration': 12.17, 'aqi': 15}","{'concentration': 24.32, 'aqi': 20}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 3.55, 'aqi': 11}","{'concentration': 6.79, 'aqi': 6}",20
North Las Vegas,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 17.31, 'aqi': 21}","{'concentration': 38.27, 'aqi': 32}","{'concentration': 1.85, 'aqi': 2}","{'concentration': 12.05, 'aqi': 39}","{'concentration': 43.26, 'aqi': 40}",40
Enterprise,"{'concentration': 257.02, 'aqi': 2}","{'concentration': 7.37, 'aqi': 9}","{'concentration': 33.62, 'aqi': 28}","{'concentration': 0.66, 'aqi': 0}","{'concentration': 3.53, 'aqi': 11}","{'concentration': 5.69, 'aqi': 5}",28
Ontario,"{'concentration': 694.28, 'aqi': 7}","{'concentration': 94.59, 'aqi': 108}","{'concentration': 18.77, 'aqi': 15}","{'concentration': 12.28, 'aqi': 18}","{'concentration': 53.84, 'aqi': 126}","{'concentration': 69.76, 'aqi': 57}",126
Thornton,"{'concentration': 387.19, 'aqi': 4}","{'concentration': 28.79, 'aqi': 35}","{'concentration': 26.82, 'aqi': 22}","{'concentration': 0.51, 'aqi': 0}","{'concentration': 8.74, 'aqi': 28}","{'concentration': 11.91, 'aqi': 11}",35
Vancouver,"{'concentration': 403.88, 'aqi': 4}","{'concentration': 27.76, 'aqi': 34}","{'concentration': 8.4, 'aqi': 7}","{'concentration': 7.45, 'aqi': 10}","{'concentration': 4.15, 'aqi': 13}","{'concentration': 13.71, 'aqi': 12}",34
Waterbury,"{'concentration': 267.03, 'aqi': 3}","{'concentration': 4.07, 'aqi': 5}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 0.68, 'aqi': 1}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 0.76, 'aqi': 0}",49
Antioch,"{'concentration': 607.49, 'aqi': 6}","{'concentration': 47.3, 'aqi': 59}","{'concentration': 0.17, 'aqi': 0}","{'concentration': 0.49, 'aqi': 0}","{'concentration': 15.1, 'aqi': 49}","{'concentration': 19.07, 'aqi': 17}",59
Tustin,"{'concentration': 674.25, 'aqi': 7}","{'concentration': 52.09, 'aqi': 65}","{'concentration': 0.04, 'aqi': 0}","{'concentration': 3.93, 'aqi': 5}","{'concentration': 29.56, 'aqi': 78}","{'concentration': 48.84, 'aqi': 45}",78
Montgomery,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 19.36, 'aqi': 24}","{'concentration': 11.98, 'aqi': 10}","{'concentration': 1.18, 'aqi': 1}","{'concentration': 4.92, 'aqi': 15}","{'concentration': 7.55, 'aqi': 6}",24
Flower Mound,"{'concentration': 433.92, 'aqi': 4}","{'concentration': 45.93, 'aqi': 57}","{'concentration': 28.25, 'aqi': 23}","{'concentration': 2.5, 'aqi': 3}","{'concentration': 9.48, 'aqi': 30}","{'concentration': 12.85, 'aqi': 11}",57
Spokane Valley,"{'concentration': 527.38, 'aqi': 5}","{'concentration': 29.82, 'aqi': 37}","{'concentration': 0.88, 'aqi': 0}","{'concentration': 0.32, 'aqi': 0}","{'concentration': 8.91, 'aqi': 28}","{'concentration': 12.22, 'aqi': 11}",37
Green Bay,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 6.34, 'aqi': 7}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 2.24, 'aqi': 3}","{'concentration': 3.02, 'aqi': 9}","{'concentration': 3.57, 'aqi': 3}",51
Homestead,"{'concentration': 240.33, 'aqi': 2}","{'concentration': 4.37, 'aqi': 5}","{'concentration': 59.37, 'aqi': 51}","{'concentration': 0.79, 'aqi': 1}","{'concentration': 3.18, 'aqi': 10}","{'concentration': 7.12, 'aqi': 6}",51
Sunrise Manor,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 119.27, 'aqi': 122}","{'concentration': 0, 'aqi': 0}","{'concentration': 18.12, 'aqi': 26}","{'concentration': 67.99, 'aqi': 151}","{'concentration': 100.14, 'aqi': 73}",151
Abilene,"{'concentration': 280.38, 'aqi': 3}","{'concentration': 8.74, 'aqi': 10}","{'concentration': 52.21, 'aqi': 44}","{'concentration': 1.09, 'aqi': 1}","{'concentration': 4.91, 'aqi': 15}","{'concentration': 8.3, 'aqi': 7}",44
Milwaukee,"{'concentration': 313.76, 'aqi': 3}","{'concentration': 15.08, 'aqi': 18}","{'concentration': 46.49, 'aqi': 39}","{'concentration': 1.43, 'aqi': 2}","{'concentration': 5.41, 'aqi': 17}","{'concentration': 6.43, 'aqi': 5}",39
North Charleston,"{'concentration': 320.44, 'aqi': 3}","{'concentration': 12.68, 'aqi': 15}","{'concentration': 18.06, 'aqi': 15}","{'concentration': 0.69, 'aqi': 1}","{'concentration': 5.32, 'aqi': 17}","{'concentration': 6.61, 'aqi': 6}",17
Broomfield,"{'concentration': 390.53, 'aqi': 4}","{'concentration': 26.73, 'aqi': 33}","{'concentration': 32.19, 'aqi': 27}","{'concentration': 0.7, 'aqi': 1}","{'concentration': 8.11, 'aqi': 26}","{'concentration': 11.36, 'aqi': 10}",33
Dayton,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 20.56, 'aqi': 25}","{'concentration': 25.39, 'aqi': 21}","{'concentration': 0.92, 'aqi': 1}","{'concentration': 7.76, 'aqi': 25}","{'concentration': 10.79, 'aqi': 9}",25
San Jose,"{'concentration': 640.87, 'aqi': 7}","{'concentration': 74.71, 'aqi': 93}","{'concentration': 0.07, 'aqi': 0}","{'concentration': 4.23, 'aqi': 6}","{'concentration': 19.36, 'aqi': 57}","{'concentration': 27.4, 'aqi': 25}",93
Chino,"{'concentration': 694.28, 'aqi': 7}","{'concentration': 94.59, 'aqi': 108}","{'concentration': 18.77, 'aqi': 15}","{'concentration': 12.28, 'aqi': 18}","{'concentration': 53.84, 'aqi': 126}","{'concentration': 69.76, 'aqi': 57}",126
San Clemente,"{'concentration': 185.25, 'aqi': 2}","{'concentration': 2.66, 'aqi': 3}","{'concentration': 35.41, 'aqi': 30}","{'concentration': 0.15, 'aqi': 0}","{'concentration': 2.67, 'aqi': 8}","{'concentration': 3.08, 'aqi': 2}",30
Roswell,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 8.23, 'aqi': 10}","{'concentration': 41.49, 'aqi': 35}","{'concentration': 0.69, 'aqi': 1}","{'concentration': 5.21, 'aqi': 16}","{'concentration': 8.01, 'aqi': 7}",35
Naperville,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 20.74, 'aqi': 25}","{'concentration': 35.41, 'aqi': 30}","{'concentration': 3.13, 'aqi': 4}","{'concentration': 7.4, 'aqi': 24}","{'concentration': 9.81, 'aqi': 9}",30
Cincinnati,"{'concentration': 387.19, 'aqi': 4}","{'concentration': 30.5, 'aqi': 38}","{'concentration': 13.23, 'aqi': 11}","{'concentration': 2.24, 'aqi': 3}","{'concentration': 6.92, 'aqi': 22}","{'concentration': 9.71, 'aqi': 8}",38
Chesapeake,"{'concentration': 330.45, 'aqi': 3}","{'concentration': 17.82, 'aqi': 22}","{'concentration': 22.71, 'aqi': 19}","{'concentration': 1.51, 'aqi': 2}","{'concentration': 2.76, 'aqi': 8}","{'concentration': 4.29, 'aqi': 3}",22
Moreno Valley,"{'concentration': 807.76, 'aqi': 9}","{'concentration': 112.41, 'aqi': 118}","{'concentration': 0.58, 'aqi': 0}","{'concentration': 10.61, 'aqi': 15}","{'concentration': 36.03, 'aqi': 91}","{'concentration': 48.22, 'aqi': 44}",118
El Cajon,"{'concentration': 1001.36, 'aqi': 11}","{'concentration': 78.83, 'aqi': 98}","{'concentration': 0, 'aqi': 0}","{'concentration': 7.57, 'aqi': 11}","{'concentration': 50.03, 'aqi': 119}","{'concentration': 65.53, 'aqi': 55}",119
Aurora,"{'concentration': 303.75, 'aqi': 3}","{'concentration': 12.34, 'aqi': 15}","{'concentration': 44.35, 'aqi': 37}","{'concentration': 2.38, 'aqi': 3}","{'concentration': 5.99, 'aqi': 19}","{'concentration': 7.87, 'aqi': 7}",37
Yakima,"{'concentration': 353.81, 'aqi': 4}","{'concentration': 22.62, 'aqi': 28}","{'concentration': 22.89, 'aqi': 19}","{'concentration': 0.15, 'aqi': 0}","{'concentration': 4.84, 'aqi': 15}","{'concentration': 6.96, 'aqi': 6}",28
West Covina,"{'concentration': 961.3, 'aqi': 10}","{'concentration': 134.35, 'aqi': 130}","{'concentration': 0, 'aqi': 0}","{'concentration': 15.74, 'aqi': 23}","{'concentration': 83.12, 'aqi': 160}","{'concentration': 108.04, 'aqi': 77}",160
Warner Robins,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 10.45, 'aqi': 13}","{'concentration': 35.76, 'aqi': 30}","{'concentration': 1.36, 'aqi': 2}","{'concentration': 3.23, 'aqi': 10}","{'concentration': 4.99, 'aqi': 4}",30
Santa Monica,"{'concentration': 1014.71, 'aqi': 11}","{'concentration': 116.53, 'aqi': 120}","{'concentration': 0, 'aqi': 0}","{'concentration': 12.28, 'aqi': 18}","{'concentration': 53.4, 'aqi': 126}","{'concentration': 71.25, 'aqi': 58}",126
Pittsburgh,"{'concentration': 383.85, 'aqi': 4}","{'concentration': 26.05, 'aqi': 32}","{'concentration': 29.33, 'aqi': 24}","{'concentration': 1.73, 'aqi': 2}","{'concentration': 6.34, 'aqi': 20}","{'concentration': 8.59, 'aqi': 7}",32
Springfield,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 8.31, 'aqi': 10}","{'concentration': 57.94, 'aqi': 49}","{'concentration': 3.46, 'aqi': 5}","{'concentration': 3.06, 'aqi': 9}","{'concentration': 4.63, 'aqi': 4}",49
Mobile,"{'concentration': 347.14, 'aqi': 3}","{'concentration': 16.45, 'aqi': 20}","{'concentration': 17.88, 'aqi': 15}","{'concentration': 0.54, 'aqi': 0}","{'concentration': 5.08, 'aqi': 16}","{'concentration': 7.45, 'aqi': 6}",20
Las Vegas,"{'concentration': 1214.98, 'aqi': 13}","{'concentration': 119.27, 'aqi': 122}","{'concentration': 0, 'aqi': 0}","{'concentration': 18.12, 'aqi': 26}","{'concentration': 67.99, 'aqi': 151}","{'concentration': 100.14, 'aqi': 73}",151
