city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Raleigh,"{'concentration': 380.52, 'aqi': 4}","{'concentration': 22.96, 'aqi': 28}","{'concentration': 15.74, 'aqi': 13}","{'concentration': 0.86, 'aqi': 1}","{'concentration': 5.25, 'aqi': 17}","{'concentration': 7.55, 'aqi': 6}",28
Hoover,"{'concentration': 410.56, 'aqi': 4}","{'concentration': 38.04, 'aqi': 47}","{'concentration': 4.38, 'aqi': 3}","{'concentration': 3.76, 'aqi': 5}","{'concentration': 7.35, 'aqi': 23}","{'concentration': 10.39, 'aqi': 9}",47
South Jordan,"{'concentration': 714.3, 'aqi': 8}","{'concentration': 67.17, 'aqi': 83}","{'concentration': 0.01, 'aqi': 0}","{'concentration': 3.99, 'aqi': 5}","{'concentration': 38.89, 'aqi': 96}","{'concentration': 44.74, 'aqi': 41}",96
Rancho Cucamonga,"{'concentration': 574.11, 'aqi': 6}","{'concentration': 76.08, 'aqi': 95}","{'concentration': 12.52, 'aqi': 10}","{'concentration': 7.87, 'aqi': 11}","{'concentration': 35.38, 'aqi': 89}","{'concentration': 48.4, 'aqi': 44}",95
El Monte,"{'concentration': 1348.5, 'aqi': 15}","{'concentration': 163.14, 'aqi': 147}","{'concentration': 0, 'aqi': 0}","{'concentration': 25.27, 'aqi': 37}","{'concentration': 114.48, 'aqi': 178}","{'concentration': 142.7, 'aqi': 94}",178
Lorain,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 6.51, 'aqi': 8}","{'concentration': 60.8, 'aqi': 55}","{'concentration': 2.71, 'aqi': 3}","{'concentration': 3.67, 'aqi': 11}","{'concentration': 4.87, 'aqi': 4}",55
Durham,"{'concentration': 340.46, 'aqi': 3}","{'concentration': 14.91, 'aqi': 18}","{'concentration': 20.56, 'aqi': 17}","{'concentration': 0.32, 'aqi': 0}","{'concentration': 3.38, 'aqi': 10}","{'concentration': 4.58, 'aqi': 4}",18
Sioux Falls,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 3.56, 'aqi': 4}","{'concentration': 58.65, 'aqi': 49}","{'concentration': 0.21, 'aqi': 0}","{'concentration': 1.09, 'aqi': 3}","{'concentration': 1.98, 'aqi': 1}",49
Santa Fe,"{'concentration': 290.39, 'aqi': 3}","{'concentration': 9.94, 'aqi': 12}","{'concentration': 49.35, 'aqi': 41}","{'concentration': 0.09, 'aqi': 0}","{'concentration': 5.75, 'aqi': 18}","{'concentration': 7.37, 'aqi': 6}",41
Tempe,"{'concentration': 961.3, 'aqi': 10}","{'concentration': 91.85, 'aqi': 106}","{'concentration': 0, 'aqi': 0}","{'concentration': 10.01, 'aqi': 14}","{'concentration': 45.34, 'aqi': 109}","{'concentration': 62.64, 'aqi': 54}",109
New Britain,"{'concentration': 173.57, 'aqi': 1}","{'concentration': 0.02, 'aqi': 0}","{'concentration': 16.63, 'aqi': 14}","{'concentration': 9.66, 'aqi': 14}","{'concentration': 4.6, 'aqi': 14}","{'concentration': 4.64, 'aqi': 4}",14
Westminster,"{'concentration': 253.68, 'aqi': 2}","{'concentration': 23.31, 'aqi': 29}","{'concentration': 28.61, 'aqi': 24}","{'concentration': 9.42, 'aqi': 13}","{'concentration': 4.93, 'aqi': 16}","{'concentration': 8.41, 'aqi': 7}",29
Killeen,"{'concentration': 260.35, 'aqi': 2}","{'concentration': 6.68, 'aqi': 8}","{'concentration': 74.39, 'aqi': 98}","{'concentration': 0.89, 'aqi': 1}","{'concentration': 3.92, 'aqi': 12}","{'concentration': 4.96, 'aqi': 4}",98
Lubbock,"{'concentration': 273.71, 'aqi': 3}","{'concentration': 7.28, 'aqi': 9}","{'concentration': 55.79, 'aqi': 47}","{'concentration': 0.27, 'aqi': 0}","{'concentration': 6.16, 'aqi': 20}","{'concentration': 18.62, 'aqi': 17}",47
